,Unnamed: 0,French,English
0,1,chercher,search
1,2,seulement,only
2,6,frère,brother
3,7,mettre,to put
4,9,laisse,leash
5,11,chaque,each
6,12,parlé,speak
7,14,bébé,baby
8,15,vont,will
9,16,revoir,meet again
10,17,place,square
11,18,parle,speak
12,19,compris,understood
13,21,étaient,were
14,23,voici,here is
15,24,pourrais,could
16,25,affaire,case
17,26,donner,give
18,27,type,type
19,29,corps,body
20,30,yeux,eyes
21,32,dont,whose
22,34,premier,first
23,35,perdu,lost
24,37,première,first
25,40,sois,be
26,41,tiens,here
27,44,point,point
28,45,pardon,sorry
29,46,devant,in front of
30,47,vers,towards
31,48,minutes,minutes
32,51,mis,placed
33,52,aimerais,would like to
34,53,aujourd'hui,today
35,54,mari,husband
36,55,cause,cause
37,56,espère,hope
38,57,eau,water
39,58,parti,left
40,60,dirait,would say
41,61,terre,Earth
42,62,donne,given
43,66,gros,large
44,68,aura,will have
45,69,filles,girls
